popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World,is_hit
44,203529,0,0.74,0.661,11,-6.823,1,0.261,0.288,0.0,0.194,0.541,102.052,4,0,1,0,0,0,0,0,0,0,0,0,0
49,169508,0,0.67,0.685,1,-9.029,0,0.0631,0.278,3.56e-06,0.103,0.689,159.942,4,0,1,0,0,0,0,0,0,0,1,1,0
22,171000,0,0.871,0.505,1,-9.997,1,0.377,0.0326,1.16e-06,0.118,0.383,159.986,4,0,0,0,0,0,1,0,0,0,0,0,0
53,201992,0,0.522,0.753,6,-9.301,1,0.0359,0.654,0.957,0.27,0.526,117.128,4,0,1,0,0,0,0,0,0,0,0,0,1
53,114857,0,0.849,0.878,10,-0.072,0,0.33,0.0799,0.567,0.0302,0.564,139.879,4,0,1,0,0,0,0,0,0,0,0,1,1
19,251372,0,0.23,0.887,6,-4.374,0,0.0457,6.28e-05,0.0281,0.133,0.673,135.9,4,0,0,0,0,1,0,0,0,0,0,0,0
52,195950,0,0.931,0.584,1,-6.013,1,0.0777,0.0116,0.43,0.0899,0.307,119.992,4,0,1,0,0,0,0,0,0,0,0,0,1
51,155569,0,0.612,0.203,5,-10.313,1,0.0345,0.737,0.0,0.124,0.172,138.084,4,0,0,0,0,0,0,0,0,0,0,1,1
32,209466,0,0.792,0.931,11,-2.571,1,0.0489,0.206,0.0,0.321,0.858,97.972,4,0,0,0,0,0,0,0,0,0,0,1,0
18,169770,0,0.621,0.0871,7,-17.046,1,0.0364,0.991,0.946,0.0974,0.15,88.007,4,0,0,0,0,0,1,0,0,0,0,0,0
8,48000,0,0.207,0.634,7,-13.406,1,0.0654,0.555,0.0656,0.0858,0.0396,80.642,4,0,1,0,0,0,0,0,0,0,0,0,0
30,189434,0,0.616,0.314,6,-11.98,1,0.0426,0.472,0.0999,0.112,0.0924,104.026,4,0,1,0,0,0,0,0,0,0,0,0,0
82,191964,0,0.812,0.89,6,-2.661,0,0.209,0.0961,0.0,0.0222,0.69,100.006,4,0,0,0,0,0,0,0,1,0,0,0,1
57,170053,0,0.733,0.392,9,-8.906,0,0.0624,0.503,0.0,0.209,0.423,133.919,4,0,0,0,1,0,0,0,0,0,0,0,1
34,294293,0,0.495,0.972,2,-4.942,1,0.129,0.0014,0.0964,0.982,0.586,129.995,4,0,0,0,0,0,0,0,0,0,0,1,0
31,254943,0,0.706,0.881,2,-5.792,1,0.0289,0.0573,1.49e-05,0.144,0.682,130.03,4,0,1,0,0,0,0,0,0,0,0,0,0
22,142400,0,0.646,0.427,2,-12.934,1,0.0478,0.702,0.0,0.245,0.903,124.182,4,0,0,1,0,0,0,0,0,0,0,0,0
0,181360,0,0.582,0.705,3,-8.169,1,0.0539,0.29,1.38e-06,0.797,0.64,128.89,4,0,0,0,0,0,0,0,0,1,0,0,0
38,243680,0,0.757,0.662,7,-10.468,1,0.0967,0.0643,0.014,0.293,0.851,99.792,4,0,0,0,0,0,0,0,0,0,1,0,0
49,177248,0,0.903,0.489,6,-7.383,0,0.0488,0.0756,0.00141,0.104,0.78,124.042,4,0,1,0,0,0,0,0,0,0,0,0,0
67,273272,0,0.612,0.78,1,-5.123,0,0.0814,0.0781,0.0,0.0593,0.554,92.059,4,0,0,0,0,0,0,0,1,0,0,0,1
12,182946,0,0.274,0.994,1,-4.329,1,0.226,2.05e-06,0.76,0.311,0.144,128.492,4,0,0,0,0,1,0,0,0,0,0,0,0
32,244792,0,0.732,0.625,5,-9.3,1,0.0484,0.734,0.000348,0.109,0.928,107.953,4,0,0,0,1,0,0,0,0,0,0,0,0
26,152626,0,0.564,0.958,4,-3.039,1,0.102,0.000192,0.00828,0.099,0.704,138.034,4,0,0,0,0,1,0,0,0,0,0,0,0
73,202158,0,0.614,0.642,1,-5.473,1,0.0449,0.289,0.0,0.13,0.218,117.94,4,0,1,0,0,0,0,0,0,0,0,0,1
27,402479,0,0.181,0.994,10,-5.238,0,0.116,0.0015,0.872,0.368,0.074,168.968,4,0,0,0,0,0,1,0,0,0,0,0,0
