acousticness,instrumentalness,duration_ms,energy,loudness,valence,speechiness,liveness,danceability,tempo,is_hit,popularity,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World
0.288,0.0,203529,0.661,-6.823,0.541,0.261,0.194,0.74,102.052,0,44,0,1,0,0,0,0,0,0,0,0,0
0.278,3.56e-06,169508,0.685,-9.029,0.689,0.0631,0.103,0.67,159.942,0,49,0,1,0,0,0,0,0,0,0,1,1
0.0326,1.16e-06,171000,0.505,-9.997,0.383,0.377,0.118,0.871,159.986,0,22,0,0,0,0,0,1,0,0,0,0,0
0.654,0.957,201992,0.753,-9.301,0.526,0.0359,0.27,0.522,117.128,1,53,0,1,0,0,0,0,0,0,0,0,0
0.0799,0.567,114857,0.878,-0.072,0.564,0.33,0.0302,0.849,139.879,1,53,0,1,0,0,0,0,0,0,0,0,1
6.28e-05,0.0281,251372,0.887,-4.374,0.673,0.0457,0.133,0.23,135.9,0,19,0,0,0,0,1,0,0,0,0,0,0
0.0116,0.43,195950,0.584,-6.013,0.307,0.0777,0.0899,0.931,119.992,1,52,0,1,0,0,0,0,0,0,0,0,0
0.737,0.0,155569,0.203,-10.313,0.172,0.0345,0.124,0.612,138.084,1,51,0,0,0,0,0,0,0,0,0,0,1
0.206,0.0,209466,0.931,-2.571,0.858,0.0489,0.321,0.792,97.972,0,32,0,0,0,0,0,0,0,0,0,0,1
0.991,0.946,169770,0.0871,-17.046,0.15,0.0364,0.0974,0.621,88.007,0,18,0,0,0,0,0,1,0,0,0,0,0
0.555,0.0656,48000,0.634,-13.406,0.0396,0.0654,0.0858,0.207,80.642,0,8,0,1,0,0,0,0,0,0,0,0,0
0.472,0.0999,189434,0.314,-11.98,0.0924,0.0426,0.112,0.616,104.026,0,30,0,1,0,0,0,0,0,0,0,0,0
0.0961,0.0,191964,0.89,-2.661,0.69,0.209,0.0222,0.812,100.006,1,82,0,0,0,0,0,0,0,1,0,0,0
0.503,0.0,170053,0.392,-8.906,0.423,0.0624,0.209,0.733,133.919,1,57,0,0,0,1,0,0,0,0,0,0,0
0.0014,0.0964,294293,0.972,-4.942,0.586,0.129,0.982,0.495,129.995,0,34,0,0,0,0,0,0,0,0,0,0,1
0.0573,1.49e-05,254943,0.881,-5.792,0.682,0.0289,0.144,0.706,130.03,0,31,0,1,0,0,0,0,0,0,0,0,0
0.702,0.0,142400,0.427,-12.934,0.903,0.0478,0.245,0.646,124.182,0,22,0,0,1,0,0,0,0,0,0,0,0
0.29,1.38e-06,181360,0.705,-8.169,0.64,0.0539,0.797,0.582,128.89,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0643,0.014,243680,0.662,-10.468,0.851,0.0967,0.293,0.757,99.792,0,38,0,0,0,0,0,0,0,0,0,1,0
