popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,is_hit
57,120058,1,0.708,0.235,11,-16.156,0,0.318,0.772,0.00238,0.103,0.169,139.998,4,emo,1
4,158391,0,0.869,0.726,11,-5.654,0,0.0459,0.0784,0.0,0.107,0.343,124.023,4,pop,0
44,380306,0,0.473,0.858,1,-4.982,0,0.0533,0.00156,0.242,0.115,0.0439,124.987,4,grunge,0
73,195200,1,0.768,0.374,7,-12.49,1,0.723,0.288,1.67e-06,0.111,0.398,75.503,4,chill,1
58,264538,0,0.458,0.384,8,-5.045,1,0.0267,0.734,0.0,0.0985,0.157,148.21,3,k-pop,1
0,216720,0,0.639,0.836,0,-4.878,0,0.048,0.027,0.0,0.283,0.814,104.998,4,pop,0
53,127080,0,0.482,0.281,4,-12.289,0,0.134,0.913,0.108,0.109,0.0537,82.829,4,sad,1
65,241668,0,0.697,0.438,8,-8.411,1,0.0289,0.399,0.0,0.293,0.58,117.955,4,pop-film,1
79,245365,0,0.715,0.654,2,-7.266,1,0.336,0.196,0.000117,0.0667,0.762,175.589,3,pop,1
47,311040,0,0.531,0.468,8,-8.538,1,0.0319,0.176,0.0,0.149,0.322,119.966,4,indian,0
34,259354,0,0.663,0.903,1,-5.288,0,0.131,0.325,0.0,0.153,0.24,93.004,4,anime,0
65,224813,0,0.613,0.614,1,-7.235,1,0.0439,0.0143,0.0,0.094,0.198,93.984,4,emo,1
53,165724,0,0.698,0.53,6,-7.877,0,0.086,0.16,0.0,0.1,0.311,94.03,4,sad,1
63,347666,0,0.293,0.817,8,-5.432,1,0.0852,0.0401,3.4e-05,0.13,0.145,165.0,4,grunge,1
55,187273,0,0.7,0.696,1,-6.513,1,0.0328,0.16,0.0379,0.1,0.336,124.002,4,emo,1
58,120053,0,0.621,0.196,9,-15.446,1,0.271,0.679,0.000649,0.106,0.397,91.15,4,sad,1
43,251794,0,0.638,0.0621,7,-26.675,1,0.0745,0.543,0.303,0.0763,0.303,147.895,4,sad,0
47,164832,0,0.484,0.384,5,-7.282,1,0.0314,0.517,0.0,0.149,0.185,134.242,3,k-pop,0
46,163868,0,0.744,0.871,9,-4.955,1,0.0734,0.143,0.0,0.118,0.896,152.063,4,sertanejo,0
57,245320,0,0.393,0.935,1,-2.052,0,0.0823,0.0198,0.0,0.354,0.68,177.862,4,anime,1
57,126010,0,0.493,0.521,5,-12.464,0,0.375,0.219,0.71,0.0872,0.273,68.699,1,chill,1
63,366853,0,0.815,0.833,7,-6.117,0,0.0769,0.0297,2e-05,0.33,0.563,99.989,4,pop-film,1
53,85333,0,0.448,0.191,5,-16.495,0,0.0937,0.856,0.000267,0.119,0.418,179.952,4,sad,1
0,173947,1,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,k-pop,0
37,334013,0,0.339,0.942,11,-6.292,1,0.0991,0.00198,0.000189,0.951,0.496,144.645,4,emo,0
35,155474,1,0.775,0.862,2,-5.341,1,0.137,0.224,0.0,0.334,0.454,99.999,4,emo,0
74,180000,0,0.594,0.647,6,-4.347,1,0.0834,0.121,0.0,0.352,0.511,82.321,4,k-pop,1
54,169748,0,0.78,0.389,6,-8.877,0,0.0776,0.491,0.00242,0.0699,0.188,121.919,3,chill,1
65,323360,0,0.618,0.766,3,-4.507,1,0.0323,0.117,0.0,0.121,0.448,113.997,4,k-pop,1
65,197368,1,0.639,0.446,6,-10.489,1,0.0378,0.295,0.0,0.181,0.363,76.004,4,emo,1
50,245624,0,0.363,0.448,1,-8.595,1,0.0348,0.716,0.0,0.108,0.424,143.711,4,k-pop,1
71,199338,0,0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.649,79.979,4,k-pop,1
48,197243,0,0.671,0.625,9,-4.128,1,0.0436,0.37,0.0,0.107,0.683,154.955,4,sertanejo,0
76,209829,0,0.537,0.586,6,-1.864,1,0.314,0.265,7.04e-05,0.175,0.624,79.056,4,pop,1
